sitename,county,aqi,distance_to_taipei,latitude,longitude,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,siteid
鳳山,高雄市,67,293.76,22.628126,120.357422,細懸浮微粒,普通,1.4,0.55,45,48,30,13,13,14.8,1.6,1.1,272,2026/02/26 17:00:00,0.5,18.2,42,2,50
大寮,高雄市,94,297.66,22.56413611,120.425311,細懸浮微粒,普通,15.8,1.2,27,48,64,24,32,38.3,5.6,2,226,2026/02/26 17:00:00,0.7,28.2,63,3,51
林園,高雄市,76,306.93,22.4795,120.41175,細懸浮微粒,普通,0.9,0.22,50,56,35,16,5,6.2,0.5,1.9,272,2026/02/26 17:00:00,0.3,21.5,50,1,52
楠梓,高雄市,78,284.28,22.733667,120.328289,懸浮微粒,普通,,,,47,,19,,,,1.6,275,2026/02/26 17:00:00,0.3,19.2,55,1,53
左營,高雄市,62,291.74,22.674861,120.292917,懸浮微粒,普通,0.6,0.21,55,50,33,10,3,4.8,0.9,2.5,294,2026/02/26 17:00:00,0.3,15.9,41,1,54
前金,高雄市,63,296.14,22.63390278,120.28676111,懸浮微粒,普通,0.4,0.24,54,49,37,12,8,9.8,1.4,3.5,0,2026/02/26 17:00:00,0.3,16.2,42,0,56
前鎮,高雄市,62,298.2,22.6044507,120.30833356,細懸浮微粒,普通,1.5,0.22,49,49,32,11,9,10.3,0.8,1.6,323,2026/02/26 17:00:00,0.3,16.5,41,2,57
小港,高雄市,71,300.92,22.565833,120.337736,細懸浮微粒,普通,3,0.22,37,42,39,14,18,21.9,3.2,3,262,2026/02/26 17:00:00,0.3,19.8,49,2,58
屏東,屏東縣,88,284.03,22.673081,120.488033,細懸浮微粒,普通,1.2,0.35,70,66,51,20,10,10.9,0.9,2.1,258,2026/02/26 17:00:00,0.4,26,61,1,59
潮州,屏東縣,74,297.1,22.523108,120.561175,臭氧八小時,普通,0.7,0.22,54,62,22,10,6,7.8,1.7,2.4,236,2026/02/26 17:00:00,0.2,18.4,42,0,60
恆春,屏東縣,43,351.49,21.958069,120.788928,,良好,0.7,0.18,47,46,5,4,0,2.3,1.6,2.6,37,2026/02/26 17:00:00,0.1,4.2,6,0,61
