sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新竹,新竹市,45,,良好,1,0.25,46,41,35,7,6,7.1,0.9,1.3,35,2026/02/26 16:00:00,0.3,7.3,27,1,120.97236752,24.8056356,24
頭份,苗栗縣,55,懸浮微粒,普通,0.5,0.22,47,40,43,10,3,5.4,1.4,3.8,349,2026/02/26 16:00:00,0.2,8.4,35,1,120.89869286,24.69690679,25
苗栗,苗栗縣,43,,良好,3.4,0.23,50,42,30,14,5,7.2,1.3,3.1,11,2026/02/26 16:00:00,0.2,10.6,24,1,120.82011468,24.56499183,26
三義,苗栗縣,54,細懸浮微粒,普通,1.3,0.24,61,47,39,15,6,7.2,0.9,1.4,355,2026/02/26 16:00:00,0.2,13.5,28,0,120.75956754,24.38248443,27
豐原,臺中市,58,細懸浮微粒,普通,1.3,0.28,61,49,43,20,10,11.9,1.2,2,294,2026/02/26 16:00:00,0.3,15,35,1,120.74252414,24.25699731,28
沙鹿,臺中市,50,,良好,0.8,0.21,54,43,39,11,4,5.3,0.7,3.8,330,2026/02/26 16:00:00,0.2,10.9,30,0,120.568794,24.225628,29
大里,臺中市,,,,,,,,,,,,,2.2,251,2026/02/26 16:00:00,,,,1,120.67844444,24.09961111,30
忠明,臺中市,57,細懸浮微粒,普通,1.4,0.25,49,39,37,14,8,10,2,1.4,265,2026/02/26 16:00:00,0.3,14.6,32,1,120.641092,24.151958,31
西屯,臺中市,52,懸浮微粒,普通,1.7,0.23,49,48,41,13,7,6.8,0,2.5,293,2026/02/26 16:00:00,0.2,10.5,32,1,120.616917,24.162197,32
彰化,彰化縣,57,懸浮微粒,普通,3.6,0.35,45,37,52,16,11,13,1.5,2.1,328,2026/02/26 16:00:00,0.3,14.2,36,1,120.541519,24.066,33
線西,彰化縣,59,細懸浮微粒,普通,1.7,0.24,46,40,39,15,7,10.5,2.9,4.2,329,2026/02/26 16:00:00,0.2,15.4,34,1,120.469061,24.131672,34
二林,彰化縣,69,懸浮微粒,普通,1.9,0.22,53,46,49,16,1,3.1,1.3,2.6,313,2026/02/26 16:00:00,0.2,14.6,47,2,120.409653,23.925175,35
南投,南投縣,71,細懸浮微粒,普通,1.2,0.21,55,47,35,20,4,5.3,1,1.8,249,2026/02/26 16:00:00,0.3,19.8,39,0,120.685306,23.913,36
斗六,雲林縣,71,細懸浮微粒,普通,2.2,0.21,56,48,50,21,5,6.3,1,2.4,291,2026/02/26 16:00:00,0.2,19.7,44,1,120.544994,23.711853,37
崙背,雲林縣,65,懸浮微粒,普通,1.4,0.19,49,43,52,14,2,3.3,0.8,2.1,301,2026/02/26 16:00:00,0.2,14.6,44,1,120.348742,23.757547,38
新港,嘉義縣,78,懸浮微粒,普通,2.1,0.19,56,45,77,20,3,4.8,1.3,3.3,294,2026/02/26 16:00:00,0.2,17.4,55,1,120.345531,23.554839,39
朴子,嘉義縣,62,懸浮微粒,普通,1.4,0.21,54,46,46,14,3,4.6,0.9,2.4,327,2026/02/26 16:00:00,0.2,14.1,41,1,120.2478,23.46538,40
臺西,雲林縣,62,懸浮微粒,普通,1.9,0.18,51,43,42,14,5,7,1.9,3.2,345,2026/02/26 16:00:00,0.2,12.9,41,1,120.19933333,23.702175,41
嘉義,嘉義市,75,細懸浮微粒,普通,3.4,0.25,54,45,49,16,5,5.9,0.7,2.7,334,2026/02/26 16:00:00,0.3,21.1,47,2,120.44125148,23.46477865,42
新營,臺南市,67,懸浮微粒,普通,1.3,0.2,47,41,51,23,5,6,0.7,2.3,323,2026/02/26 16:00:00,0.2,17.2,45,1,120.31725,23.305633,43
善化,臺南市,68,懸浮微粒,普通,0.7,0.17,51,41,36,12,4,5.3,0.6,3.4,340,2026/02/26 16:00:00,0.2,15.6,46,1,120.29740529,23.11337642,44
